AuthorName,Age,Nationality,email,ArticleTitle,YearPublished,ConferenceName,Location,ISBN,DOI,Volume,Npages,Edition,keyword1,keyword2,keyword3,keyword4
Peter Lipps,64,Scottish,Pe5@gmail.com,Program Refinement in Fair Transition Systems.,1993,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Peter Lipps,64,Scottish,Pe5@gmail.com,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,1986,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Matthias Olk,61,German,Ma13@gmail.com,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,2009,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Matthias Olk,61,German,Ma13@gmail.com,Data Encodings and Their Costs.,1978,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Reinhard Wilhelm,68,Irish,Re2@gmail.com,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,2009,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Reinhard Wilhelm,68,Irish,Re2@gmail.com,Hierarchies of Complete Problems.,1976,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Sanguthevar Rajasekaran,31,American,Sa17@gmail.com,A theory of formal synthesis via inductive learning.,2017,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Sanguthevar Rajasekaran,31,American,Sa17@gmail.com,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,2009,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Sanguthevar Rajasekaran,31,American,Sa17@gmail.com,Hierarchies of Complete Problems.,1976,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Sandeep Sen,25,Canadian,Sa2@gmail.com,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,2009,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Sandeep Sen,25,Canadian,Sa2@gmail.com,Type-based information flow analysis for the pi-calculus.,2005,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Richard Hull 0001,19,Italian,Ri9@gmail.com,Hierarchies of Complete Problems.,1976,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Richard Hull 0001,19,Italian,Ri9@gmail.com,Type-based information flow analysis for the pi-calculus.,2005,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Richard Hull 0001,19,Italian,Ri9@gmail.com,Sur une Conjecture de S. Greibach.,1974,Annual Meeting of the Association for Computational Linguistics,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Jianwen Su,29,Belgian,Ji16@gmail.com,Hierarchies of Complete Problems.,1976,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Jianwen Su,29,Belgian,Ji16@gmail.com,A Conservation Law for G/G/m Queueing Systems.,1978,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
John K. Lee,49,Norwegian,Jo10@gmail.com,Type-based information flow analysis for the pi-calculus.,2005,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
John K. Lee,49,Norwegian,Jo10@gmail.com,Sur une Conjecture de S. Greibach.,1974,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
John K. Lee,49,Norwegian,Jo10@gmail.com,A Conservation Law for G/G/m Queueing Systems.,1978,IEEE Transactions on Wireless Communications,Italy,329-6-18-100771-1,0.7893/116108111109163,89,145,25,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Alan Fekete,26,Canadian,Al10@gmail.com,Sur une Conjecture de S. Greibach.,1974,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Alan Fekete,26,Canadian,Al10@gmail.com,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,1980,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Teuvo Laurinolli,43,Italian,Te10@gmail.com,Sur une Conjecture de S. Greibach.,1974,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Teuvo Laurinolli,43,Italian,Te10@gmail.com,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,1980,European Conference on Computer Vision,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Teuvo Laurinolli,43,Italian,Te10@gmail.com,Context-Free Graph Grammars and Concatenation of Graphs.,1997,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Gary T. Leavens,25,British,Ga15@gmail.com,On a Class of Recursive Procedures and Equivalent Iterative Ones.,1979,IEEE Transactions on Pattern Analysis and Machine Intelligence,Ecuador,738-8-4-100052-6,7.2263/1181101111226406,66,160,17,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Don Pigozzi,41,Belgian,Do4@gmail.com,Context-Free Graph Grammars and Concatenation of Graphs.,1997,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Don Pigozzi,41,Belgian,Do4@gmail.com,On a Class of Recursive Procedures and Equivalent Iterative Ones.,1979,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Luke Hunsberger,56,Scottish,Lu2@gmail.com,On a Class of Recursive Procedures and Equivalent Iterative Ones.,1979,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Luke Hunsberger,56,Scottish,Lu2@gmail.com,A general account of coinduction up-to.,2017,IEEE Transactions on Pattern Analysis and Machine Intelligence,Ecuador,738-8-4-100052-6,7.2263/1181101111226406,66,160,17,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Luke Hunsberger,56,Scottish,Lu2@gmail.com,A Comparison of Two Synchronizing Concepts.,1972,IEEE Transactions on Wireless Communications,Italy,329-6-18-100771-1,0.7893/116108111109163,89,145,25,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Y. Daniel Liang,27,American,Y.5@gmail.com,A general account of coinduction up-to.,2017,Annual Meeting of the Association for Computational Linguistics,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Maw-Shang Chang,19,Irish,Ma17@gmail.com,Algorithms for Fast Evaluation of Boolean Expressions.,1975,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Maw-Shang Chang,19,Irish,Ma17@gmail.com,A general account of coinduction up-to.,2017,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Maw-Shang Chang,19,Irish,Ma17@gmail.com,How to Calculate Symmetries of Petri Nets.,2000,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Gilles Bernot,70,Canadian,Gi3@gmail.com,How to Calculate Symmetries of Petri Nets.,2000,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Michel Bidoit,36,Canadian,Mi13@gmail.com,A Comparison of Two Synchronizing Concepts.,1972,Annual Meeting of the Association for Computational Linguistics,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Michel Bidoit,36,Canadian,Mi13@gmail.com,How to Calculate Symmetries of Petri Nets.,2000,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Michel Bidoit,36,Canadian,Mi13@gmail.com,The Synthesis Problem of Petri Nets.,1996,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Teodor Knapik,68,Swedish,Te1@gmail.com,Recognizability of graph and pattern languages.,2006,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Teodor Knapik,68,Swedish,Te1@gmail.com,The Synthesis Problem of Petri Nets.,1996,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Teodor Knapik,68,Swedish,Te1@gmail.com,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,1979,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Jan A. Bergstra,64,Canadian,Ja5@gmail.com,The Synthesis Problem of Petri Nets.,1996,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Jan A. Bergstra,64,Canadian,Ja5@gmail.com,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,1979,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Jan A. Bergstra,64,Canadian,Ja5@gmail.com,On weighted first-order logics with discounting.,2014,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
C. A. Middelburg,30,Italian,C.15@gmail.com,On weighted first-order logics with discounting.,2014,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
C. A. Middelburg,30,Italian,C.15@gmail.com,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,1981,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Wlodzimierz Drabent,19,American,Wl14@gmail.com,The Synthesis Problem of Petri Nets.,1996,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Wlodzimierz Drabent,19,American,Wl14@gmail.com,On weighted first-order logics with discounting.,2014,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Wlodzimierz Drabent,19,American,Wl14@gmail.com,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,1981,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Victor Khomenko,48,Mexican,Vi8@gmail.com,On weighted first-order logics with discounting.,2014,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Victor Khomenko,48,Mexican,Vi8@gmail.com,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,1981,Annual Meeting of the Association for Computational Linguistics,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Victor Khomenko,48,Mexican,Vi8@gmail.com,An Efficiency Preorder for Processes.,1992,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Walter Vogler,20,Norwegian,Wa6@gmail.com,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,1981,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Walter Vogler,20,Norwegian,Wa6@gmail.com,Modeling Splits in File Structures.,1989,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Ralf Wollowski,72,Mexican,Ra3@gmail.com,An Efficiency Preorder for Processes.,1992,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Ralf Wollowski,72,Mexican,Ra3@gmail.com,Modeling Splits in File Structures.,1989,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Raphael A. Finkel,18,Belgian,Ra0@gmail.com,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,1992,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Jon Louis Bentley,68,Italian,Jo7@gmail.com,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,1992,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Alfred Schmitt,69,Italian,Al18@gmail.com,Modeling Splits in File Structures.,1989,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Alfred Schmitt,69,Italian,Al18@gmail.com,Synchronized regular expressions.,2003,IEEE Journal of Selected Areas in Communications,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Alfred Schmitt,69,Italian,Al18@gmail.com,On regular tree languages and deterministic pushdown automata.,2009,IEEE Journal of Selected Areas in Communications,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Alfred Schmitt,69,Italian,Al18@gmail.com,A Modal Logic for Message Passing Processes.,1995,IEEE Journal of Selected Areas in Communications,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Jacques Labetoulle,70,German,Ja8@gmail.com,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,1992,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Jacques Labetoulle,70,German,Ja8@gmail.com,On regular tree languages and deterministic pushdown automata.,2009,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Guy Pujolle,31,Greece,Gu9@gmail.com,A Modal Logic for Message Passing Processes.,1995,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Guy Pujolle,31,Greece,Gu9@gmail.com,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,1990,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Paul Pritchard,66,French,Pa16@gmail.com,On regular tree languages and deterministic pushdown automata.,2009,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Paul Pritchard,66,French,Pa16@gmail.com,Does indirect addressing matter? - A note.,2012,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Robert T. Moenck,68,French,Ro12@gmail.com,A Modal Logic for Message Passing Processes.,1995,IEEE Transactions on Wireless Communications,Italy,329-6-18-100771-1,0.7893/116108111109163,89,145,25,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Philip Heidelberger,24,French,Ph7@gmail.com,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,1990,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Philip Heidelberger,24,French,Ph7@gmail.com,Reasoning Algebraically about Loops.,1999,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Philip Heidelberger,24,French,Ph7@gmail.com,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,1974,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Yo-Sub Han,35,Swedish,Yo4@gmail.com,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,1974,European Conference on Computer Vision,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Yo-Sub Han,35,Swedish,Yo4@gmail.com,Metric propositional neighborhood logic with an equivalence relation.,2016,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Sang-Ki Ko,33,Greece,Sa3@gmail.com,Reasoning Algebraically about Loops.,1999,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Sang-Ki Ko,33,Greece,Sa3@gmail.com,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,1974,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Sang-Ki Ko,33,Greece,Sa3@gmail.com,A Principle of Independence for Binary Tree Searching.,1974,European Conference on Computer Vision,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Kai Salomaa,39,Norwegian,Ka18@gmail.com,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,1974,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Kai Salomaa,39,Norwegian,Ka18@gmail.com,A Principle of Independence for Binary Tree Searching.,1974,Annual Meeting of the Association for Computational Linguistics,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Siegfried Bublitz,69,Norwegian,Si18@gmail.com,Metric propositional neighborhood logic with an equivalence relation.,2016,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Siegfried Bublitz,69,Norwegian,Si18@gmail.com,The Paging Drum Queue: A Uniform Perspective and Further Results.,1984,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Pierpaolo Degano,49,Norwegian,Pi10@gmail.com,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,1984,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Pierpaolo Degano,49,Norwegian,Pi10@gmail.com,The Paging Drum Queue: A Uniform Perspective and Further Results.,1984,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Pierpaolo Degano,49,Norwegian,Pi10@gmail.com,The Undecidability of the Unification and Matching Problem for Canonical Theories.,1987,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Gian Luigi Ferrari,71,American,Gi13@gmail.com,A Principle of Independence for Binary Tree Searching.,1974,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Gian Luigi Ferrari,71,American,Gi13@gmail.com,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,1984,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Gian Luigi Ferrari,71,American,Gi13@gmail.com,The Paging Drum Queue: A Uniform Perspective and Further Results.,1984,European Conference on Computer Vision,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Gian Luigi Ferrari,71,American,Gi13@gmail.com,The Programming Language Pascal.,1971,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Gianluca Mezzetti,48,Mexican,Gi6@gmail.com,The Paging Drum Queue: A Uniform Perspective and Further Results.,1984,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Gianluca Mezzetti,48,Mexican,Gi6@gmail.com,The Undecidability of the Unification and Matching Problem for Canonical Theories.,1987,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Benedek Nagy,55,Greece,Be16@gmail.com,The Undecidability of the Unification and Matching Problem for Canonical Theories.,1987,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Friedrich Otto,24,French,Fr7@gmail.com,Head and state hierarchies for unary multi-head finite automata.,2014,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Krishnendu Chatterjee,69,Scottish,Kr6@gmail.com,The Programming Language Pascal.,1971,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Gheorghe Paun,29,Finnish,Gh8@gmail.com,The stuttering principle revisited.,2005,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
P. F. Schuler,46,Norwegian,P.6@gmail.com,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,1980,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
P. F. Schuler,46,Norwegian,P.6@gmail.com,The stuttering principle revisited.,2005,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
P. F. Schuler,46,Norwegian,P.6@gmail.com,Lazy Structure Sharing for Query Optimization.,1995,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
George W. Ernst,66,French,Ge8@gmail.com,The stuttering principle revisited.,2005,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
George W. Ernst,66,French,Ge8@gmail.com,Lazy Structure Sharing for Query Optimization.,1995,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Joost Engelfriet,66,British,Jo7@gmail.com,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,1987,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Joost Engelfriet,66,British,Jo7@gmail.com,Lazy Structure Sharing for Query Optimization.,1995,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
Joost Engelfriet,66,British,Jo7@gmail.com,Fair ambients.,2007,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Joost Engelfriet,66,British,Jo7@gmail.com,Concurrent Access to Data.,1977,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Joost Engelfriet,66,British,Jo7@gmail.com,Relaxed red-black trees with group updates.,2002,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Heiko Vogler,30,Irish,He1@gmail.com,Fair ambients.,2007,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Heiko Vogler,30,Irish,He1@gmail.com,Relaxed red-black trees with group updates.,2002,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
