AuthorName,Age,Nationality,email,ArticleTitle,YearPublished,JournalName,Location,ISBN,DOI,Volume,Npages,Edition,keyword1,keyword2,keyword3,keyword4
Gary T. Leavens,25,British,Ga15@gmail.com,Algorithms for Fast Evaluation of Boolean Expressions.,2009,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,Image-based Rendering and Animation,quantum computation,program analysis,distributed programming
Don Pigozzi,41,Belgian,Do4@gmail.com,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,2007,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,computer security,Energy lab,Elementary and special functions,Telephony
Don Pigozzi,41,Belgian,Do4@gmail.com,Algorithms for Fast Evaluation of Boolean Expressions.,2011,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,Heating Ventilation,gene finding,database systems,networking
Don Pigozzi,41,Belgian,Do4@gmail.com,A general account of coinduction up-to.,2014,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,concurrency,computational complexity,Internet of Things,Safe Computing
Luke Hunsberger,56,Scottish,Lu2@gmail.com,Context-Free Graph Grammars and Concatenation of Graphs.,2012,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,Medical device software,protein structure alignment,Robotics,artificial intelligence
Luke Hunsberger,56,Scottish,Lu2@gmail.com,Algorithms for Fast Evaluation of Boolean Expressions.,2012,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,Natural Language Processing,Service and cloud computing,Internet of Things,protein structure alignment
Y. Daniel Liang,27,American,Y.5@gmail.com,On a Class of Recursive Procedures and Equivalent Iterative Ones.,2007,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,computational economics,Machine Learning for Computer Vision,Natural Language Processing,Image-based Rendering and Animation
Y. Daniel Liang,27,American,Y.5@gmail.com,Algorithms for Fast Evaluation of Boolean Expressions.,2012,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,Privacy,Online Scams,computational complexity,Scalable internet services
Y. Daniel Liang,27,American,Y.5@gmail.com,A Comparison of Two Synchronizing Concepts.,2012,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,concurrency,Data cleaning,sequence alignment,Consistency
Y. Daniel Liang,27,American,Y.5@gmail.com,How to Calculate Symmetries of Petri Nets.,2006,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,algebra,data transformation,drug discovery,computational complexity
Maw-Shang Chang,19,Irish,Ma17@gmail.com,A Comparison of Two Synchronizing Concepts.,2005,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,Avionics software,Service and cloud computing,Computational Video,Metadata management
Gilles Bernot,70,Canadian,Gi3@gmail.com,A general account of coinduction up-to.,2006,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Heating Ventilation,type theory,Electronic warfare engineering,Numerical linear algebra
Gilles Bernot,70,Canadian,Gi3@gmail.com,A Comparison of Two Synchronizing Concepts.,2010,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,Numerical linear algebra,computational biology,gene finding,Automotive software
Gilles Bernot,70,Canadian,Gi3@gmail.com,Recognizability of graph and pattern languages.,2008,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,protein structure prediction,3D Modelling of Humans,data transformation,type theory
Michel Bidoit,36,Canadian,Mi13@gmail.com,Recognizability of graph and pattern languages.,2014,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,concurrency,vision and graphics,quantum computation,Scalable data analysis and query processing
Teodor Knapik,68,Swedish,Te1@gmail.com,How to Calculate Symmetries of Petri Nets.,2005,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Safe Computing,human-centred design in intelligent environments,networking,parallel and distributed computation
Jan A. Bergstra,64,Canadian,Ja5@gmail.com,Recognizability of graph and pattern languages.,2009,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Augmented Reality,Augmented Reality,Finding roots of nonlinear equations,Image-based Rendering and Animation
C. A. Middelburg,30,Italian,C.15@gmail.com,Recognizability of graph and pattern languages.,2013,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,Image-based Rendering and Animation,Service and cloud computing,machine learning,Finding roots of nonlinear equations
C. A. Middelburg,30,Italian,C.15@gmail.com,The Synthesis Problem of Petri Nets.,2005,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,human-centred design in intelligent environments,computational biology,type theory,Recommender Systems
C. A. Middelburg,30,Italian,C.15@gmail.com,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,2009,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Computer Vision,parallel and distributed computation,Elementary and special functions,data transformation
Wlodzimierz Drabent,19,American,Wl14@gmail.com,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,2009,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,affective computing,domain-specific languages,Biomedical Image Analysis,human-centred design in intelligent environments
Victor Khomenko,48,Mexican,Vi8@gmail.com,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,2007,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,gene finding,type theory,type theory,language semantics
Walter Vogler,20,Norwegian,Wa6@gmail.com,An Efficiency Preorder for Processes.,2006,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Data Breaches,Consistency,Malware,protein structure alignment
Walter Vogler,20,Norwegian,Wa6@gmail.com,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,2005,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,computer security,Security,Internet of Things,vision and graphics
Ralf Wollowski,72,Mexican,Ra3@gmail.com,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,2007,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,digital health,Machine Learning,gene finding,affective computing
Ralf Wollowski,72,Mexican,Ra3@gmail.com,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,2012,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,Scalable data analysis and query processing,3D Modelling of Humans,Declarative languages and runtime systems,Machine Learning
Raphael A. Finkel,18,Belgian,Ra0@gmail.com,An Efficiency Preorder for Processes.,2009,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,computer security,cryptography,type theory,Privacy
Raphael A. Finkel,18,Belgian,Ra0@gmail.com,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,2005,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Medical device software,Metadata management,coordination and reliability,Optimization
Raphael A. Finkel,18,Belgian,Ra0@gmail.com,Modeling Splits in File Structures.,2006,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,Privacy,automated theorem proving,type theory,automated theorem proving
Raphael A. Finkel,18,Belgian,Ra0@gmail.com,Synchronized regular expressions.,2005,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Computational Video,Service and cloud computing,Malware,artificial intelligence
Jon Louis Bentley,68,Italian,Jo7@gmail.com,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,2011,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,protein structure alignment,coordination and reliability,data transformation,networking
Jon Louis Bentley,68,Italian,Jo7@gmail.com,Modeling Splits in File Structures.,2009,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,distributed programming,data structures,Computational Video,drug design
Jon Louis Bentley,68,Italian,Jo7@gmail.com,Synchronized regular expressions.,2013,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Computer Vision,Elementary and special functions,Computational Video,Heating Ventilation
Jon Louis Bentley,68,Italian,Jo7@gmail.com,On regular tree languages and deterministic pushdown automata.,2008,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,artificial intelligence,Heating Ventilation,Electronic warfare engineering,language implementation
Alfred Schmitt,69,Italian,Al18@gmail.com,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,2012,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,genome assembly,artificial intelligence,Reinforcement Learning,Interpolation and approximation
Jacques Labetoulle,70,German,Ja8@gmail.com,Synchronized regular expressions.,2012,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Avionics software,Secure Passwords,Elementary and special functions,digital health
Jacques Labetoulle,70,German,Ja8@gmail.com,A Modal Logic for Message Passing Processes.,2011,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Interpolation and approximation,drug design,Machine Learning for Computer Vision,networking
Jacques Labetoulle,70,German,Ja8@gmail.com,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,2005,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,Data Breaches,parallel and distributed computation,Biomedical Image Analysis,Online Scams
Guy Pujolle,31,Greece,Gu9@gmail.com,Synchronized regular expressions.,2013,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,protein structure alignment,3D Modelling of Humans,Declarative languages and runtime systems,data transformation
Guy Pujolle,31,Greece,Gu9@gmail.com,On regular tree languages and deterministic pushdown automata.,2009,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,pervasive computing and collaboration,Interpolation and approximation,Scalable internet services,Secure Passwords
Guy Pujolle,31,Greece,Gu9@gmail.com,Does indirect addressing matter? - A note.,2010,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,Privacy,Computational Video,Telephony,pervasive computing and collaboration
Paul Pritchard,66,French,Pa16@gmail.com,A Modal Logic for Message Passing Processes.,2012,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,concurrency,Optimization,Malware,Telemetry
Paul Pritchard,66,French,Pa16@gmail.com,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,2009,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,language semantics,Service and cloud computing,3D Scene Analysis,pervasive computing and collaboration
Paul Pritchard,66,French,Pa16@gmail.com,Reasoning Algebraically about Loops.,2014,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,using data to design user interfaces,Computational Video,parallel and distributed computation,Recommender Systems
Robert T. Moenck,68,French,Ro12@gmail.com,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,2012,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,machine learning,Malware,Automotive software,domain-specific languages
Robert T. Moenck,68,French,Ro12@gmail.com,Does indirect addressing matter? - A note.,2005,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Internet of Things,quantum computation,artificial intelligence,Recommender Systems
Robert T. Moenck,68,French,Ro12@gmail.com,Reasoning Algebraically about Loops.,2010,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Security,automated theorem proving,Secure data processing,networking
Robert T. Moenck,68,French,Ro12@gmail.com,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,2013,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,protein structure alignment,Reinforcement Learning,digital technology for older people,computational economics
Philip Heidelberger,24,French,Ph7@gmail.com,Does indirect addressing matter? - A note.,2005,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,Reinforcement Learning,Automotive software,artificial intelligence,machine learning
Philip Heidelberger,24,French,Ph7@gmail.com,Trace Nets and Process Automata.,2010,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,algebra,digital health,computational complexity,Image-based Rendering and Animation
Yo-Sub Han,35,Swedish,Yo4@gmail.com,Does indirect addressing matter? - A note.,2012,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,data structures,Deep Learning,Interpolation and approximation,Image-based Rendering and Animation
Yo-Sub Han,35,Swedish,Yo4@gmail.com,Reasoning Algebraically about Loops.,2010,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Security,Secure Passwords,Privacy,Computational Video
Yo-Sub Han,35,Swedish,Yo4@gmail.com,Trace Nets and Process Automata.,2008,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,probabilistic computation,computational complexity,3D Modelling of Humans,Malware
Sang-Ki Ko,33,Greece,Sa3@gmail.com,Trace Nets and Process Automata.,2007,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,human-centred design in intelligent environments,Malware,Metadata management,Safe Computing
Sang-Ki Ko,33,Greece,Sa3@gmail.com,Metric propositional neighborhood logic with an equivalence relation.,2014,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,Data Breaches,probabilistic computation,Biomedical Image Analysis,Robotics
Kai Salomaa,39,Norwegian,Ka18@gmail.com,Trace Nets and Process Automata.,2007,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,Numerical quadrature,digital health,Data Breaches,Declarative languages and runtime systems
Kai Salomaa,39,Norwegian,Ka18@gmail.com,Metric propositional neighborhood logic with an equivalence relation.,2005,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,concurrency,Interpolation and approximation,using data to design user interfaces,parallel and distributed computation
Kai Salomaa,39,Norwegian,Ka18@gmail.com,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,2009,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,machine learning,gene finding,Internet of Things,Metadata management
Siegfried Bublitz,69,Norwegian,Si18@gmail.com,Trace Nets and Process Automata.,2011,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,3D Modelling of Humans,automata theory,Privacy,Machine Learning
Siegfried Bublitz,69,Norwegian,Si18@gmail.com,A Principle of Independence for Binary Tree Searching.,2013,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,algebra,Robotics,Natural Language Processing,drug discovery
Siegfried Bublitz,69,Norwegian,Si18@gmail.com,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,2012,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,Optimization,Data cleaning,sequence alignment,3D Scene Analysis
Pierpaolo Degano,49,Norwegian,Pi10@gmail.com,Metric propositional neighborhood logic with an equivalence relation.,2008,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,concurrency,networking,algebra,Finding roots of nonlinear equations
Pierpaolo Degano,49,Norwegian,Pi10@gmail.com,A Principle of Independence for Binary Tree Searching.,2012,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,vision and graphics,Computer Vision,digital health,Recommender Systems
Gian Luigi Ferrari,71,American,Gi13@gmail.com,The Undecidability of the Unification and Matching Problem for Canonical Theories.,2013,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Privacy,Secure Passwords,parallel and distributed computation,Scalable data analysis and query processing
Gianluca Mezzetti,48,Mexican,Gi6@gmail.com,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.,2010,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,Numerical linear algebra,Telemetry,Service and cloud computing,drug discovery
Gianluca Mezzetti,48,Mexican,Gi6@gmail.com,The Programming Language Pascal.,2011,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,Machine Learning,automata theory,computational economics,Secure data processing
Benedek Nagy,55,Greece,Be16@gmail.com,The Paging Drum Queue: A Uniform Perspective and Further Results.,2010,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Scalable data analysis and query processing,algebra,3D Scene Analysis,Medical device software
Benedek Nagy,55,Greece,Be16@gmail.com,The Programming Language Pascal.,2014,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Medical device software,Consistency,Elementary and special functions,parallel and distributed computation
Benedek Nagy,55,Greece,Be16@gmail.com,Inhibitionsfelder.,2011,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,drug discovery,Deep Learning,coordination and reliability,drug design
Friedrich Otto,24,French,Fr7@gmail.com,The Undecidability of the Unification and Matching Problem for Canonical Theories.,2007,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,cryptography,Scalable data analysis and query processing,Telephony,digital health
Friedrich Otto,24,French,Fr7@gmail.com,The Programming Language Pascal.,2009,Information Research-An International Electronic Journal,Germany,292-1-15-100463-5,9.6614/1111121121084242,69,91,5,computer security,Consistency,coordination and reliability,Consistency
Friedrich Otto,24,French,Fr7@gmail.com,Inhibitionsfelder.,2005,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,Elementary and special functions,Reinforcement Learning,Recommender Systems,Augmented Reality
Krishnendu Chatterjee,69,Scottish,Kr6@gmail.com,Inhibitionsfelder.,2008,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Data storage and physical design,Computational Video,Safe Computing,protein structure prediction
Krishnendu Chatterjee,69,Scottish,Kr6@gmail.com,Head and state hierarchies for unary multi-head finite automata.,2006,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Natural Language Processing,artificial intelligence,cryptography,Data storage and physical design
Krishnendu Chatterjee,69,Scottish,Kr6@gmail.com,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,2013,Information Research-An International Electronic Journal,Germany,292-1-15-100463-5,9.6614/1111121121084242,69,91,5,automata theory,concurrency,Heating Ventilation,Declarative languages and runtime systems
Gheorghe Paun,29,Finnish,Gh8@gmail.com,Inhibitionsfelder.,2009,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,drug discovery,probabilistic computation,Biomedical Image Analysis,distributed programming
Gheorghe Paun,29,Finnish,Gh8@gmail.com,Head and state hierarchies for unary multi-head finite automata.,2007,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,data structures,Machine Learning for Computer Vision,protein structure alignment,sequence alignment
Gheorghe Paun,29,Finnish,Gh8@gmail.com,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,2012,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,vision and graphics,quantum computation,data structures,artificial intelligence
Gheorghe Paun,29,Finnish,Gh8@gmail.com,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,2011,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,Reinforcement Learning,digital health,Secure data processing,Interpolation and approximation
P. F. Schuler,46,Norwegian,P.6@gmail.com,Head and state hierarchies for unary multi-head finite automata.,2013,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,Machine Learning for Computer Vision,Numerical linear algebra,Computer Vision,Telephony
P. F. Schuler,46,Norwegian,P.6@gmail.com,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,2009,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,database systems,coordination and reliability,Secure data processing,Elementary and special functions
George W. Ernst,66,French,Ge8@gmail.com,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,2010,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,Avionics software,vision and graphics,Safe Computing,language semantics
George W. Ernst,66,French,Ge8@gmail.com,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.,2011,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,sequence alignment,data structures,3D Scene Analysis,parallel and distributed computation
George W. Ernst,66,French,Ge8@gmail.com,Fair ambients.,2012,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Optimization,protein structure alignment,Computer Vision,language semantics
Heiko Vogler,30,Irish,He1@gmail.com,Lazy Structure Sharing for Query Optimization.,2005,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,genome assembly,using data to design user interfaces,Optimization,computer security
Heiko Vogler,30,Irish,He1@gmail.com,Concurrent Access to Data.,2009,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,type theory,gene finding,Deep Learning,Deep Learning
Stefan Reisch,37,Greece,St13@gmail.com,Fair ambients.,2008,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,language semantics,Security,Metadata management,Robotics
Stefan Reisch,37,Greece,St13@gmail.com,Concurrent Access to Data.,2010,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,Data Breaches,Heating Ventilation,vision and graphics,Reinforcement Learning
Stefan Reisch,37,Greece,St13@gmail.com,Generation of EfficientLALRParsers for Regular Right Part Grammars.,2011,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Secure Passwords,Safe Computing,automated theorem proving,database systems
Chen-Ming Fan,42,Canadian,Ch11@gmail.com,Generation of EfficientLALRParsers for Regular Right Part Grammars.,2014,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,Elementary and special functions,language implementation,Electronic warfare engineering,Heating Ventilation
Chen-Ming Fan,42,Canadian,Ch11@gmail.com,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,2013,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,Security,quantum computation,domain-specific languages,Telephony
Chen-Ming Fan,42,Canadian,Ch11@gmail.com,Priority Conflict-Free Petri Nets.,2013,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,data structures,pervasive computing and collaboration,Electronic warfare engineering,Numerical quadrature
Cheng-Chih Huang,32,Scottish,Ch12@gmail.com,Priority Conflict-Free Petri Nets.,2010,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Numerical linear algebra,affective computing,coordination and reliability,using data to design user interfaces
Huei-Jan Shyr,48,American,Hu5@gmail.com,Priority Conflict-Free Petri Nets.,2011,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,using data to design user interfaces,3D Scene Analysis,Electronic warfare engineering,Augmented Reality
Huei-Jan Shyr,48,American,Hu5@gmail.com,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,2013,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,protein structure alignment,Robotics,Service and cloud computing,computational economics
Kuo-Hsiang Chen,18,Swedish,Ku17@gmail.com,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,2006,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,human-centred design in intelligent environments,vision and graphics,Numerical linear algebra,pervasive computing and collaboration
Kuo-Hsiang Chen,18,Swedish,Ku17@gmail.com,Priority Conflict-Free Petri Nets.,2010,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,language implementation,data structures,Optimization,automata theory
Kuo-Hsiang Chen,18,Swedish,Ku17@gmail.com,Optimum Multiway Search Trees.,2008,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,parallel and distributed computation,Numerical quadrature,Scalable data analysis and query processing,Heating Ventilation
Kuo-Hsiang Chen,18,Swedish,Ku17@gmail.com,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.,2011,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Numerical linear algebra,Internet of Things,probabilistic computation,using data to design user interfaces
Kuo-Hsiang Chen,18,Swedish,Ku17@gmail.com,Parallel Integer Sorting Using Small Operations.,2013,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,Machine Learning,Consistency,Deep Learning,Finding roots of nonlinear equations
Linqiang Pan,25,Finnish,Li18@gmail.com,Priority Conflict-Free Petri Nets.,2007,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,Consistency,Security,Internet of Things,3D Modelling of Humans
Linqiang Pan,25,Finnish,Li18@gmail.com,Optimum Multiway Search Trees.,2010,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,Scalable internet services,Data cleaning,Medical device software,Technology-enhanced learning
Linqiang Pan,25,Finnish,Li18@gmail.com,Stochastic cooperative distributed grammar systems and random graphs.,2010,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,concurrency,Malware,vision and graphics,type theory
Artiom Alhazov,21,American,Ar3@gmail.com,Parallel Integer Sorting Using Small Operations.,2006,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,Numerical quadrature,Service and cloud computing,affective computing,Interpolation and approximation
Artiom Alhazov,21,American,Ar3@gmail.com,Stochastic cooperative distributed grammar systems and random graphs.,2006,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,genome assembly,sequence alignment,Deep Learning,Delay-tolerant networking
Akhil Kumar 0001,44,Belgian,Ak12@gmail.com,Parallel Integer Sorting Using Small Operations.,2014,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,Consistency,Automotive software,affective computing,program analysis
Akhil Kumar 0001,44,Belgian,Ak12@gmail.com,Performance Evaluation of Fork and Join Synchronization Primitives.,2012,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,Machine Learning,3D Scene Analysis,Privacy,Robotics
Akhil Kumar 0001,44,Belgian,Ak12@gmail.com,Some properties of the disjunctive languages contained inQ.,2011,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,Mobile Protection,Elementary and special functions,Recommender Systems,type theory
Kavindra Malik,24,French,Ka8@gmail.com,Systolic Automata for VLSI on Balanced Trees.,2009,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Secure data processing,Metadata management,Computational Video,distributed programming
