"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","ConferenceName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","EditionName","Review1Name","Review2Name","Review3Name"
"167",167,167,"Manfred P. Stadel",72,"French","Ma12@gmail.com","What is Failure? An Approach to Constructive Negation.",1995,"IEEE Transactions on Wireless Communications","Italy","329-6-18-100771-1","0.7893/116108111109163",89,145,25,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Alexandre Brandwajn",1,"Michael Schenke",0,"Marjan Sirjani",1,"IEEE Transactions on Wireless Communications 25","Alexandre Brandwajn reviews  What is Failure? An Approach to Constructive Negation.","Michael Schenke reviews  What is Failure? An Approach to Constructive Negation.","Marjan Sirjani reviews  What is Failure? An Approach to Constructive Negation."
"168",168,168,"Manfred P. Stadel",72,"French","Ma12@gmail.com","STG decomposition strategies in combination with unfolding.",2009,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Serge Haddad",1,"Allen Reiter",1,"Grzegorz Rozenberg",0,"European Conference on Computer Vision 12","Serge Haddad reviews  STG decomposition strategies in combination with unfolding.","Allen Reiter reviews  STG decomposition strategies in combination with unfolding.","Grzegorz Rozenberg reviews  STG decomposition strategies in combination with unfolding."
"169",169,169,"Manfred P. Stadel",72,"French","Ma12@gmail.com","Quad Trees: A Data Structure for Retrieval on Composite Keys.",1974,"Nucleic Acids Research","Germany","566-2-10-100502-8","2.8449/1001031031061503",79,71,8,"sequence alignment","gene finding","genome assembly","drug design","Linqiang Pan",1,"Linqiang Pan",1,"Adam L. Buchsbaum",0,"Nucleic Acids Research 8","Linqiang Pan reviews  Quad Trees: A Data Structure for Retrieval on Composite Keys.","Linqiang Pan reviews  Quad Trees: A Data Structure for Retrieval on Composite Keys.","Adam L. Buchsbaum reviews  Quad Trees: A Data Structure for Retrieval on Composite Keys."
"170",170,170,"Manfred P. Stadel",72,"French","Ma12@gmail.com","A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.",1976,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Michael Schenke",1,"Ian F. Akyildiz",0,"Eike Best",1,"IEEE Conference on Computer Vision and Pattern Recognition 21","Michael Schenke reviews  A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.","Ian F. Akyildiz reviews  A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.","Eike Best reviews  A Study of Queueing Networks with Deterministic Service and Application to Computer Networks."
"171",171,171,"David A. Watt",52,"Irish","Da12@gmail.com","Quad Trees: A Data Structure for Retrieval on Composite Keys.",1974,"IEEE Transactions on Image Processing","Brazil","741-5-14-100542-7","8.3886/101113120979356",3,172,14,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Adam L. Buchsbaum",1,"Michel Sintzoff",0,"Joost Engelfriet",1,"IEEE Transactions on Image Processing 14","Adam L. Buchsbaum reviews  Quad Trees: A Data Structure for Retrieval on Composite Keys.","Michel Sintzoff reviews  Quad Trees: A Data Structure for Retrieval on Composite Keys.","Joost Engelfriet reviews  Quad Trees: A Data Structure for Retrieval on Composite Keys."
"172",172,172,"David A. Watt",52,"Irish","Da12@gmail.com","Explaining the Wheel Sieve.",1982,"Annual Meeting of the Association for Computational Linguistics","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Philippe Darondeau",0,"Antonios Kalampakas",1,"Huei-Jan Shyr",0,"Annual Meeting of the Association for Computational Linguistics 28","Philippe Darondeau reviews  Explaining the Wheel Sieve.","Antonios Kalampakas reviews  Explaining the Wheel Sieve.","Huei-Jan Shyr reviews  Explaining the Wheel Sieve."
"173",173,173,"Ricardo A. Baeza-Yates",56,"Greece","Ri15@gmail.com","Explaining the Wheel Sieve.",1982,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Giuseppe Serazzi",1,"Ikuo Nakata",1,"Peter Lipps",1,"IEEE Transactions on Neural Networks and Learning Systems 8","Giuseppe Serazzi reviews  Explaining the Wheel Sieve.","Ikuo Nakata reviews  Explaining the Wheel Sieve.","Peter Lipps reviews  Explaining the Wheel Sieve."
"174",174,174,"Ricardo A. Baeza-Yates",56,"Greece","Ri15@gmail.com","Variance Reduction Techniques for the Simulation of Markov Process.",1980,"Annual Meeting of the Association for Computational Linguistics","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Thierry Fleury",0,"Houguang Yue",0,"J. H. Hine",0,"Annual Meeting of the Association for Computational Linguistics 28","Thierry Fleury reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Houguang Yue reviews  Variance Reduction Techniques for the Simulation of Markov Process.","J. H. Hine reviews  Variance Reduction Techniques for the Simulation of Markov Process."
"175",175,175,"Derick Wood",43,"British","De15@gmail.com","Variance Reduction Techniques for the Simulation of Markov Process.",1980,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Rainer Kemp",0,"Susmit Jha",1,"Changwook Kim",0,"Conference on Empirical Methods in Natural Language Processing 22","Rainer Kemp reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Susmit Jha reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Changwook Kim reviews  Variance Reduction Techniques for the Simulation of Markov Process."
"176",176,176,"Derick Wood",43,"British","De15@gmail.com","State complexity of deletion and bipolar deletion.",2016,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Joost Engelfriet",1,"Raphael A. Finkel",0,"Gary T. Leavens",0,"IEEE Transactions on Cybernetics 4","Joost Engelfriet reviews  State complexity of deletion and bipolar deletion.","Raphael A. Finkel reviews  State complexity of deletion and bipolar deletion.","Gary T. Leavens reviews  State complexity of deletion and bipolar deletion."
"177",177,177,"Ernst W. Mayr",51,"Canadian","Er11@gmail.com","Explaining the Wheel Sieve.",1982,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Dirk Janssens",0,"Jurriaan Rot",0,"Jacques Lenfant",1,"IEEE Transactions on Information Theory 5","Dirk Janssens reviews  Explaining the Wheel Sieve.","Jurriaan Rot reviews  Explaining the Wheel Sieve.","Jacques Lenfant reviews  Explaining the Wheel Sieve."
"178",178,178,"Ernst W. Mayr",51,"Canadian","Er11@gmail.com","Variance Reduction Techniques for the Simulation of Markov Process.",1980,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Walter Vogler",1,"Donald P. Gaver",1,"Guy Pujolle",1,"IEEE Conference on Computer Vision and Pattern Recognition 21","Walter Vogler reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Donald P. Gaver reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Guy Pujolle reviews  Variance Reduction Techniques for the Simulation of Markov Process."
"179",179,179,"Ernst W. Mayr",51,"Canadian","Er11@gmail.com","State complexity of deletion and bipolar deletion.",2016,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Thomas P. Murtagh",0,"Astrid Kiehn",1,"Yoshihide Igarashi",1,"International Conference on Machine Learning 3","Thomas P. Murtagh reviews  State complexity of deletion and bipolar deletion.","Astrid Kiehn reviews  State complexity of deletion and bipolar deletion.","Yoshihide Igarashi reviews  State complexity of deletion and bipolar deletion."
"180",180,180,"Karel Culik II",21,"Italian","Ka16@gmail.com","Another Polynomial Homomorphism.",1976,"International Conference on Computer Vision","Australia","789-8-0-100595-4","3.8268/114106971112461",53,166,28,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Yo-Sub Han",1,"Pietro Sala",1,"S. Kiran Kumar",1,"International Conference on Computer Vision 28","Yo-Sub Han reviews  Another Polynomial Homomorphism.","Pietro Sala reviews  Another Polynomial Homomorphism.","S. Kiran Kumar reviews  Another Polynomial Homomorphism."
"181",181,181,"Karel Culik II",21,"Italian","Ka16@gmail.com","Variance Reduction Techniques for the Simulation of Markov Process.",1980,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Ecuador","738-8-4-100052-6","7.2263/1181101111226406",66,160,17,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Alan Fekete",1,"Ugo Montanari",0,"Stavros Konstantinidis",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 17","Alan Fekete reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Ugo Montanari reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Stavros Konstantinidis reviews  Variance Reduction Techniques for the Simulation of Markov Process."
"182",182,182,"Karel Culik II",21,"Italian","Ka16@gmail.com","State complexity of deletion and bipolar deletion.",2016,"IEEE Journal of Selected Areas in Communications","Germany","664-5-18-100102-7","8.69/991031061144082",6,125,6,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Qui Hoon Choo",1,"Marjan Sirjani",1,"Ocan Sankur",0,"IEEE Journal of Selected Areas in Communications 6","Qui Hoon Choo reviews  State complexity of deletion and bipolar deletion.","Marjan Sirjani reviews  State complexity of deletion and bipolar deletion.","Ocan Sankur reviews  State complexity of deletion and bipolar deletion."
"183",183,183,"Karel Culik II",21,"Italian","Ka16@gmail.com","Regular and context-free nominal traces.",2017,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Ugo Montanari",1,"Sascha Fendrich",1,"Pedro V. Silva",1,"IEEE Transactions on Information Theory 5","Ugo Montanari reviews  Regular and context-free nominal traces.","Sascha Fendrich reviews  Regular and context-free nominal traces.","Pedro V. Silva reviews  Regular and context-free nominal traces."
"184",184,184,"Simant Dube",71,"British","Si0@gmail.com","Variance Reduction Techniques for the Simulation of Markov Process.",1980,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Davide Sangiorgi",0,"Michiel H. M. Smid",1,"D. R. Milton",0,"European Conference on Computer Vision 12","Davide Sangiorgi reviews  Variance Reduction Techniques for the Simulation of Markov Process.","Michiel H. M. Smid reviews  Variance Reduction Techniques for the Simulation of Markov Process.","D. R. Milton reviews  Variance Reduction Techniques for the Simulation of Markov Process."
"185",185,185,"Simant Dube",71,"British","Si0@gmail.com","State complexity of deletion and bipolar deletion.",2016,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","George Rahonis",1,"Tom Chothia",1,"Stephan Heilbrunner",0,"AAAI Conference on Artificial Intelligence 6","George Rahonis reviews  State complexity of deletion and bipolar deletion.","Tom Chothia reviews  State complexity of deletion and bipolar deletion.","Stephan Heilbrunner reviews  State complexity of deletion and bipolar deletion."
"186",186,186,"Simant Dube",71,"British","Si0@gmail.com","Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.",2013,"Transactions on Geoscience and Remote Sensing","Israel","565-5-19-100564-8","3.1030/9911497115898",14,72,23,"sequence alignment","gene finding","genome assembly","drug design","Andreas Malcher",0,"Alain Finkel",0,"Eric C. R. Hehner",1,"Transactions on Geoscience and Remote Sensing 23","Andreas Malcher reviews  Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.","Alain Finkel reviews  Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.","Eric C. R. Hehner reviews  Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata."
"187",187,187,"Armin B. Cremers",72,"Swedish","Ar3@gmail.com","State complexity of deletion and bipolar deletion.",2016,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Liuba Shrira",1,"Karl Meinke",0,"Amir Pnueli",1,"Science 18","Liuba Shrira reviews  State complexity of deletion and bipolar deletion.","Karl Meinke reviews  State complexity of deletion and bipolar deletion.","Amir Pnueli reviews  State complexity of deletion and bipolar deletion."
"188",188,188,"Armin B. Cremers",72,"Swedish","Ar3@gmail.com","Regular and context-free nominal traces.",2017,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Carroll Morgan",1,"Donald P. Gaver",1,"Giuseppe Serazzi",0,"IEEE Transactions on Cybernetics 4","Carroll Morgan reviews  Regular and context-free nominal traces.","Donald P. Gaver reviews  Regular and context-free nominal traces.","Giuseppe Serazzi reviews  Regular and context-free nominal traces."
"189",189,189,"Armin B. Cremers",72,"Swedish","Ar3@gmail.com","Special issue: Synthesis and SYNT 2014.",2017,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","J. H. Hine",0,"Lorenzo Bettini",0,"Romain Brenguier",1,"Information Sciences 14","J. H. Hine reviews  Special issue: Synthesis and SYNT 2014.","Lorenzo Bettini reviews  Special issue: Synthesis and SYNT 2014.","Romain Brenguier reviews  Special issue: Synthesis and SYNT 2014."
"190",190,190,"Thomas N. Hibbard",48,"Swedish","Th19@gmail.com","Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.",1986,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Teodor Knapik",0,"Borivoj Melichar",0,"Symeon Bozapalidis",1,"Annual Conference on Neural Information Processing Systems 2","Teodor Knapik reviews  Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.","Borivoj Melichar reviews  Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.","Symeon Bozapalidis reviews  Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions."
"191",191,191,"Thomas N. Hibbard",48,"Swedish","Th19@gmail.com","Special issue: Synthesis and SYNT 2014.",2017,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Giora Slutzki",0,"Ocan Sankur",1,"Joakim von Wright",0,"IEEE Transactions on Information Theory 5","Giora Slutzki reviews  Special issue: Synthesis and SYNT 2014.","Ocan Sankur reviews  Special issue: Synthesis and SYNT 2014.","Joakim von Wright reviews  Special issue: Synthesis and SYNT 2014."
"192",192,192,"Thomas N. Hibbard",48,"Swedish","Th19@gmail.com","On the Synchronization in Parallel Communicating Grammar Systems.",1993,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Cheng-Chih Huang",1,"J. V. Tucker",1,"Jan A. Bergstra",0,"Science 18","Cheng-Chih Huang reviews  On the Synchronization in Parallel Communicating Grammar Systems.","J. V. Tucker reviews  On the Synchronization in Parallel Communicating Grammar Systems.","Jan A. Bergstra reviews  On the Synchronization in Parallel Communicating Grammar Systems."
"193",193,193,"William P. R. Mitchell",67,"Swedish","Wi10@gmail.com","Special issue: Synthesis and SYNT 2014.",2017,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Marisa Venturini Zilli",0,"Kavindra Malik",1,"Alan J. Perlis",1,"Annual Conference on Neural Information Processing Systems 2","Marisa Venturini Zilli reviews  Special issue: Synthesis and SYNT 2014.","Kavindra Malik reviews  Special issue: Synthesis and SYNT 2014.","Alan J. Perlis reviews  Special issue: Synthesis and SYNT 2014."
"194",194,194,"William P. R. Mitchell",67,"Swedish","Wi10@gmail.com","Weakly Context-Sensitive Languages as Model for Programming Languages.",1974,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Delphine Longuet",0,"Artiom Alhazov",1,"Barbara G. Ryder",0,"Science 18","Delphine Longuet reviews  Weakly Context-Sensitive Languages as Model for Programming Languages.","Artiom Alhazov reviews  Weakly Context-Sensitive Languages as Model for Programming Languages.","Barbara G. Ryder reviews  Weakly Context-Sensitive Languages as Model for Programming Languages."
"195",195,195,"Patrick Cousot",66,"Irish","Pa18@gmail.com","Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.",2013,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Y. Daniel Liang",0,"Klaus H. Hinrichs",0,"Akhil Kumar 0001",1,"IEEE Transactions on Neural Networks and Learning Systems 8","Y. Daniel Liang reviews  Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.","Klaus H. Hinrichs reviews  Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.","Akhil Kumar 0001 reviews  Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata."
"196",196,196,"Patrick Cousot",66,"Irish","Pa18@gmail.com","On the Synchronization in Parallel Communicating Grammar Systems.",1993,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Axel van Lamsweerde",1,"Vincent Vajnovszki",1,"Ram Chakka",1,"IEEE Transactions on Neural Networks and Learning Systems 8","Axel van Lamsweerde reviews  On the Synchronization in Parallel Communicating Grammar Systems.","Vincent Vajnovszki reviews  On the Synchronization in Parallel Communicating Grammar Systems.","Ram Chakka reviews  On the Synchronization in Parallel Communicating Grammar Systems."
"197",197,197,"Radhia Cousot",57,"American","Ra15@gmail.com","Weakly Context-Sensitive Languages as Model for Programming Languages.",1974,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","Corina Apachite",0,"Dana Angluin",1,"Houguang Yue",0,"Information Sciences 14","Corina Apachite reviews  Weakly Context-Sensitive Languages as Model for Programming Languages.","Dana Angluin reviews  Weakly Context-Sensitive Languages as Model for Programming Languages.","Houguang Yue reviews  Weakly Context-Sensitive Languages as Model for Programming Languages."
"198",198,198,"Radhia Cousot",57,"American","Ra15@gmail.com","Rules of Inference for Procedure Calls.",1977,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","D. R. Milton",1,"Moon-Jung Chung",0,"Andrea Maggiolo-Schettini",0,"IEEE Transactions on Cybernetics 4","D. R. Milton reviews  Rules of Inference for Procedure Calls.","Moon-Jung Chung reviews  Rules of Inference for Procedure Calls.","Andrea Maggiolo-Schettini reviews  Rules of Inference for Procedure Calls."
"199",199,199,"Isi Mitrani",46,"Norwegian","Is17@gmail.com","Weakly Context-Sensitive Languages as Model for Programming Languages.",1974,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Elisabeth Pelz",0,"Sven Schewe",1,"Eleni Mandrali",0,"Conference on Empirical Methods in Natural Language Processing 22","Elisabeth Pelz reviews  Weakly Context-Sensitive Languages as Model for Programming Languages.","Sven Schewe reviews  Weakly Context-Sensitive Languages as Model for Programming Languages.","Eleni Mandrali reviews  Weakly Context-Sensitive Languages as Model for Programming Languages."
"200",200,200,"Isi Mitrani",46,"Norwegian","Is17@gmail.com","Rules of Inference for Procedure Calls.",1977,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Reinhard Wilhelm",0,"S. B. Quiring",0,"J. Ian Munro",1,"Annual Conference on Neural Information Processing Systems 2","Reinhard Wilhelm reviews  Rules of Inference for Procedure Calls.","S. B. Quiring reviews  Rules of Inference for Procedure Calls.","J. Ian Munro reviews  Rules of Inference for Procedure Calls."
"201",201,201,"Isi Mitrani",46,"Norwegian","Is17@gmail.com","High Level Tree Transducers and Iterated Pushdown Tree Transducers.",1988,"Annual Meeting of the Association for Computational Linguistics","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Horst von Brand",1,"Malcolm Tyrrell",1,"Teuvo Laurinolli",1,"Annual Meeting of the Association for Computational Linguistics 28","Horst von Brand reviews  High Level Tree Transducers and Iterated Pushdown Tree Transducers.","Malcolm Tyrrell reviews  High Level Tree Transducers and Iterated Pushdown Tree Transducers.","Teuvo Laurinolli reviews  High Level Tree Transducers and Iterated Pushdown Tree Transducers."
"202",202,202,"J. H. Hine",44,"Belgian","J.9@gmail.com","High Level Tree Transducers and Iterated Pushdown Tree Transducers.",1988,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Philip Heidelberger",0,"Friedrich Otto",1,"Kai Salomaa",1,"IEEE Conference on Computer Vision and Pattern Recognition 21","Philip Heidelberger reviews  High Level Tree Transducers and Iterated Pushdown Tree Transducers.","Friedrich Otto reviews  High Level Tree Transducers and Iterated Pushdown Tree Transducers.","Kai Salomaa reviews  High Level Tree Transducers and Iterated Pushdown Tree Transducers."
"203",203,203,"Joseph M. Morris",47,"Irish","Jo3@gmail.com","The Construction of Operator Interfaces Based on Logical Input Devices.",1983,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Tjalling Gelsema",1,"Klaus H. Hinrichs",1,"Margherita Napoli",1,"IEEE Transactions on Information Theory 5","Tjalling Gelsema reviews  The Construction of Operator Interfaces Based on Logical Input Devices.","Klaus H. Hinrichs reviews  The Construction of Operator Interfaces Based on Logical Input Devices.","Margherita Napoli reviews  The Construction of Operator Interfaces Based on Logical Input Devices."
"204",204,204,"Malcolm Tyrrell",26,"Canadian","Ma12@gmail.com","The Construction of Operator Interfaces Based on Logical Input Devices.",1983,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","Gilles Bernot",1,"Frank Wm. Tompa",0,"Ramachandran Vaidyanathan",1,"Information Sciences 14","Gilles Bernot reviews  The Construction of Operator Interfaces Based on Logical Input Devices.","Frank Wm. Tompa reviews  The Construction of Operator Interfaces Based on Logical Input Devices.","Ramachandran Vaidyanathan reviews  The Construction of Operator Interfaces Based on Logical Input Devices."
"205",205,205,"Karl Meinke",77,"Scottish","Ka9@gmail.com","Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.",2006,"International Conference on Computer Vision","Australia","789-8-0-100595-4","3.8268/114106971112461",53,166,28,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Chung-Hao Huang",0,"Teuvo Laurinolli",0,"Alexandre Brandwajn",0,"International Conference on Computer Vision 28","Chung-Hao Huang reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.","Teuvo Laurinolli reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.","Alexandre Brandwajn reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules."
"206",206,206,"Karl Meinke",77,"Scottish","Ka9@gmail.com","Optimizing the Costs of Hierarchical Quorum Consensus.",1996,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Ecuador","738-8-4-100052-6","7.2263/1181101111226406",66,160,17,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Luc Devroye",0,"Kamilla Klonowska",0,"Michael Evangelist",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 17","Luc Devroye reviews  Optimizing the Costs of Hierarchical Quorum Consensus.","Kamilla Klonowska reviews  Optimizing the Costs of Hierarchical Quorum Consensus.","Michael Evangelist reviews  Optimizing the Costs of Hierarchical Quorum Consensus."
"207",207,207,"Mohammad Mahdi Jaghoori",34,"Irish","Mo12@gmail.com","Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.",2006,"Transactions on Geoscience and Remote Sensing","Israel","565-5-19-100564-8","3.1030/9911497115898",14,72,23,"sequence alignment","gene finding","genome assembly","drug design","Chua-Huang Huang",0,"Enrico Tronci",1,"Maria Rita Di Berardini",0,"Transactions on Geoscience and Remote Sensing 23","Chua-Huang Huang reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.","Enrico Tronci reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.","Maria Rita Di Berardini reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules."
"208",208,208,"Mohammad Mahdi Jaghoori",34,"Irish","Mo12@gmail.com","Recursive Petri nets.",2007,"IEEE Journal of Selected Areas in Communications","Germany","664-5-18-100102-7","8.69/991031061144082",6,125,6,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","George W. Ernst",0,"Teruo Hikita",1,"Maciej Koutny",0,"IEEE Journal of Selected Areas in Communications 6","George W. Ernst reviews  Recursive Petri nets.","Teruo Hikita reviews  Recursive Petri nets.","Maciej Koutny reviews  Recursive Petri nets."
"209",209,209,"Frank S. de Boer",51,"Irish","Fr4@gmail.com","Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.",2006,"Annual Meeting of the Association for Computational Linguistics","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Pramod K. Varshney",1,"Clement H. C. Leung",0,"Daniela Petrisan",0,"Annual Meeting of the Association for Computational Linguistics 28","Pramod K. Varshney reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.","Clement H. C. Leung reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.","Daniela Petrisan reviews  Solving HPP and SAT by P Systems with Active Membranes and Separation Rules."
"210",210,210,"Frank S. de Boer",51,"Irish","Fr4@gmail.com","Optimizing the Costs of Hierarchical Quorum Consensus.",1996,"Annual Meeting of the Association for Computational Linguistics","Ecuador","738-8-4-100052-6","7.2263/1181101111226406",66,160,17,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Nam H. Do",1,"Andrzej Ehrenfeucht",0,"Thomas P. Murtagh",1,"Annual Meeting of the Association for Computational Linguistics 17","Nam H. Do reviews  Optimizing the Costs of Hierarchical Quorum Consensus.","Andrzej Ehrenfeucht reviews  Optimizing the Costs of Hierarchical Quorum Consensus.","Thomas P. Murtagh reviews  Optimizing the Costs of Hierarchical Quorum Consensus."
