"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","JournalName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","VolumeName","Review1Name","Review2Name","Review3Name"
"222",222,222,"Ugo Montanari",58,"German","Ug1@gmail.com","State space axioms for T-systems.",2007,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Biomedical Image Analysis","algebra","Augmented Reality","Technology-enhanced learning","Vijay K. Vaishnavi",0,"Kim G. Larsen",0,"Manuel Ojeda-Aciego",0,"ACM Computing Surveys 65","Vijay K. Vaishnavi reviews  State space axioms for T-systems.","Kim G. Larsen reviews  State space axioms for T-systems.","Manuel Ojeda-Aciego reviews  State space axioms for T-systems."
"223",223,223,"Ugo Montanari",58,"German","Ug1@gmail.com","Infinite Proof Rules for Loops.",2007,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"Heating Ventilation","language implementation","Numerical quadrature","coordination and reliability","Karl Meinke",1,"Guy Pujolle",1,"Allen Reiter",0,"Information Research-An International Electronic Journal 69","Karl Meinke reviews  Infinite Proof Rules for Loops.","Guy Pujolle reviews  Infinite Proof Rules for Loops.","Allen Reiter reviews  Infinite Proof Rules for Loops."
"224",224,224,"Ugo Montanari",58,"German","Ug1@gmail.com","Nonfinite Axiomatizability of the Equational Theory of Shuffle.",2006,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"parallel and distributed computation","pervasive computing and collaboration","language implementation","parallel and distributed computation","Robert T. Moenck",1,"Yuri Breitbart",0,"Marco Pazzaglia",0,"Journal of Management Information Systems 82","Robert T. Moenck reviews  Nonfinite Axiomatizability of the Equational Theory of Shuffle.","Yuri Breitbart reviews  Nonfinite Axiomatizability of the Equational Theory of Shuffle.","Marco Pazzaglia reviews  Nonfinite Axiomatizability of the Equational Theory of Shuffle."
"225",225,225,"Francesca Rossi",56,"Canadian","Fr11@gmail.com","Extended multi bottom-up tree transducers.",2012,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Data storage and physical design","Data cleaning","protein structure alignment","Privacy","Pierpaolo Degano",0,"Hans Ulrich Simon",0,"T. C. Edwin Cheng",0,"ACM Transactions on Graphics 13","Pierpaolo Degano reviews  Extended multi bottom-up tree transducers.","Hans Ulrich Simon reviews  Extended multi bottom-up tree transducers.","T. C. Edwin Cheng reviews  Extended multi bottom-up tree transducers."
"226",226,226,"Francesca Rossi",56,"Canadian","Fr11@gmail.com","Infinite Proof Rules for Loops.",2011,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"artificial intelligence","Data Breaches","computer security","Technology-enhanced learning","Jurriaan Rot",0,"Grzegorz Rozenberg",1,"Alexandre Brandwajn",0,"Annual Review of Information Science and Technology 37","Jurriaan Rot reviews  Infinite Proof Rules for Loops.","Grzegorz Rozenberg reviews  Infinite Proof Rules for Loops.","Alexandre Brandwajn reviews  Infinite Proof Rules for Loops."
"227",227,227,"Peter E. Lauer",56,"Greece","Pe3@gmail.com","The Clean Termination of Iterative Programs.",2010,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"data transformation","Safe Computing","pervasive computing and collaboration","Telephony","Ryszard Janicki",0,"Lila Kari",0,"Huei-Jan Shyr",0,"Algorithmica 86","Ryszard Janicki reviews  The Clean Termination of Iterative Programs.","Lila Kari reviews  The Clean Termination of Iterative Programs.","Huei-Jan Shyr reviews  The Clean Termination of Iterative Programs."
"228",228,228,"Peter E. Lauer",56,"Greece","Pe3@gmail.com","Infinite Proof Rules for Loops.",2012,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Reinforcement Learning","Scalable internet services","Numerical quadrature","algebra","Tom Chothia",0,"Carroll Morgan",0,"Kamilla Klonowska",1,"Journal of Cryptology 51","Tom Chothia reviews  Infinite Proof Rules for Loops.","Carroll Morgan reviews  Infinite Proof Rules for Loops.","Kamilla Klonowska reviews  Infinite Proof Rules for Loops."
"229",229,229,"Peter E. Lauer",56,"Greece","Pe3@gmail.com","Data Refinement by Calculation.",2006,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"pervasive computing and collaboration","computer security","language semantics","coordination and reliability","Pradip K. Srimani",1,"Pietro Sala",1,"Anton Nijholt",0,"Information Research-An International Electronic Journal 69","Pradip K. Srimani reviews  Data Refinement by Calculation.","Pietro Sala reviews  Data Refinement by Calculation.","Anton Nijholt reviews  Data Refinement by Calculation."
"230",230,230,"M. W. Shields",51,"Irish","M.13@gmail.com","Nonfinite Axiomatizability of the Equational Theory of Shuffle.",2005,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"parallel and distributed computation","genome assembly","Data Breaches","Reinforcement Learning","Yijie Han",1,"Per Brinch Hansen",0,"Wim H. Hesselink",0,"ACM Transactions on Algorithms 46","Yijie Han reviews  Nonfinite Axiomatizability of the Equational Theory of Shuffle.","Per Brinch Hansen reviews  Nonfinite Axiomatizability of the Equational Theory of Shuffle.","Wim H. Hesselink reviews  Nonfinite Axiomatizability of the Equational Theory of Shuffle."
"231",231,231,"M. W. Shields",51,"Irish","M.13@gmail.com","Data Refinement by Calculation.",2010,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"domain-specific languages","Telemetry","protein structure alignment","Online Scams","Alan Fekete",1,"Karl Meinke",1,"Carroll Morgan",1,"Machine Learning 85","Alan Fekete reviews  Data Refinement by Calculation.","Karl Meinke reviews  Data Refinement by Calculation.","Carroll Morgan reviews  Data Refinement by Calculation."
"232",232,232,"M. W. Shields",51,"Irish","M.13@gmail.com","Program Refinement in Fair Transition Systems.",2008,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Telemetry","protein structure prediction","affective computing","parallel and distributed computation","Sven Schewe",0,"Andrzej Ehrenfeucht",0,"Hendrik Jan Hoogeboom",1,"Machine Learning 85","Sven Schewe reviews  Program Refinement in Fair Transition Systems.","Andrzej Ehrenfeucht reviews  Program Refinement in Fair Transition Systems.","Hendrik Jan Hoogeboom reviews  Program Refinement in Fair Transition Systems."
"233",233,233,"M. W. Shields",51,"Irish","M.13@gmail.com","A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.",2009,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Numerical quadrature","sequence alignment","Declarative languages and runtime systems","computer security","Pierpaolo Degano",1,"J. Ian Munro",0,"Ivan Hal Sudborough",0,"ACM Transactions on Database Systems 50","Pierpaolo Degano reviews  A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.","J. Ian Munro reviews  A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.","Ivan Hal Sudborough reviews  A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems."
"234",234,234,"Rudolf Berghammer",26,"Swedish","Ru14@gmail.com","Program Refinement in Fair Transition Systems.",2008,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"Elementary and special functions","gene finding","Consistency","digital health","Hermann A. Maurer",1,"Kuo-Hsiang Chen",0,"Huei-Jan Shyr",0,"Algorithmica 86","Hermann A. Maurer reviews  Program Refinement in Fair Transition Systems.","Kuo-Hsiang Chen reviews  Program Refinement in Fair Transition Systems.","Huei-Jan Shyr reviews  Program Refinement in Fair Transition Systems."
"235",235,235,"David Pager",47,"Italian","Da13@gmail.com","Data Refinement by Calculation.",2006,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"Energy lab","using data to design user interfaces","Computer Vision","Numerical linear algebra","Ralf Wollowski",1,"Yuri Breitbart",1,"Jacques Leroudier",1,"IEEE Transactions on Fuzzy Systems 2","Ralf Wollowski reviews  Data Refinement by Calculation.","Yuri Breitbart reviews  Data Refinement by Calculation.","Jacques Leroudier reviews  Data Refinement by Calculation."
"236",236,236,"Peter Lipps",64,"Scottish","Pe5@gmail.com","On the Look-Ahead Problem in Lexical Analysis.",2010,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"computational economics","gene finding","Online Scams","Online Scams","M. W. Shields",0,"Paul S. Amerins",1,"George Leih",1,"ACM Transactions on Computer-Human Interaction 50","M. W. Shields reviews  On the Look-Ahead Problem in Lexical Analysis.","Paul S. Amerins reviews  On the Look-Ahead Problem in Lexical Analysis.","George Leih reviews  On the Look-Ahead Problem in Lexical Analysis."
"237",237,237,"Peter Lipps",64,"Scottish","Pe5@gmail.com","A theory of formal synthesis via inductive learning.",2012,"ACM Transactions on Computer Systems","Israel","768-4-14-100698-1","4.413/1191051041164320","60","66",2,"domain-specific languages","computational complexity","networking","Interpolation and approximation","Luc Devroye",1,"Luke Hunsberger",0,"Oded Goldreich 0001",1,"ACM Transactions on Computer Systems 60","Luc Devroye reviews  A theory of formal synthesis via inductive learning.","Luke Hunsberger reviews  A theory of formal synthesis via inductive learning.","Oded Goldreich 0001 reviews  A theory of formal synthesis via inductive learning."
"238",238,238,"Matthias Olk",61,"German","Ma13@gmail.com","On the Look-Ahead Problem in Lexical Analysis.",2006,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Medical device software","computational biology","Scalable internet services","Technology-enhanced learning","Jan Strejcek",0,"Michael Bertol",0,"Marjan Sirjani",0,"Journal of Cryptology 51","Jan Strejcek reviews  On the Look-Ahead Problem in Lexical Analysis.","Michael Bertol reviews  On the Look-Ahead Problem in Lexical Analysis.","Marjan Sirjani reviews  On the Look-Ahead Problem in Lexical Analysis."
"239",239,239,"Matthias Olk",61,"German","Ma13@gmail.com","A theory of formal synthesis via inductive learning.",2010,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"computer security","Recommender Systems","Metadata management","Internet of Things","Y. Daniel Liang",1,"Luke Hunsberger",1,"Chung-Hao Huang",0,"Journal of Management Information Systems 82","Y. Daniel Liang reviews  A theory of formal synthesis via inductive learning.","Luke Hunsberger reviews  A theory of formal synthesis via inductive learning.","Chung-Hao Huang reviews  A theory of formal synthesis via inductive learning."
"240",240,240,"Reinhard Wilhelm",68,"Irish","Re2@gmail.com","On the Look-Ahead Problem in Lexical Analysis.",2012,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Secure data processing","domain-specific languages","Computational Video","Scalable data analysis and query processing","Yuri Breitbart",1,"Eric Badouel",0,"Andrei P. Ershov",0,"ACM Transactions on Graphics 13","Yuri Breitbart reviews  On the Look-Ahead Problem in Lexical Analysis.","Eric Badouel reviews  On the Look-Ahead Problem in Lexical Analysis.","Andrei P. Ershov reviews  On the Look-Ahead Problem in Lexical Analysis."
"241",241,241,"Reinhard Wilhelm",68,"Irish","Re2@gmail.com","A theory of formal synthesis via inductive learning.",2006,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"Safe Computing","Delay-tolerant networking","Malware","digital health","Joakim von Wright",0,"Alain Finkel",1,"Kim S. Larsen",0,"Neural Computation 23","Joakim von Wright reviews  A theory of formal synthesis via inductive learning.","Alain Finkel reviews  A theory of formal synthesis via inductive learning.","Kim S. Larsen reviews  A theory of formal synthesis via inductive learning."
"242",242,242,"Reinhard Wilhelm",68,"Irish","Re2@gmail.com","Data Encodings and Their Costs.",2008,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"Internet of Things","protein structure prediction","human-centred design in intelligent environments","program analysis","Walter Vogler",0,"Thomas P. Murtagh",1,"Malcolm Tyrrell",1,"Annual Review of Information Science and Technology 37","Walter Vogler reviews  Data Encodings and Their Costs.","Thomas P. Murtagh reviews  Data Encodings and Their Costs.","Malcolm Tyrrell reviews  Data Encodings and Their Costs."
"243",243,243,"Sanguthevar Rajasekaran",31,"American","Sa17@gmail.com","Data Encodings and Their Costs.",2012,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"probabilistic computation","human-centred design in intelligent environments","Secure data processing","3D Modelling of Humans","Norbert Ramsperger",1,"Thomas P. Murtagh",1,"Paul S. Amerins",0,"Journal of Cryptology 51","Norbert Ramsperger reviews  Data Encodings and Their Costs.","Thomas P. Murtagh reviews  Data Encodings and Their Costs.","Paul S. Amerins reviews  Data Encodings and Their Costs."
"244",244,244,"Sandeep Sen",25,"Canadian","Sa2@gmail.com","Data Encodings and Their Costs.",2010,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"Electronic warfare engineering","Medical device software","algebra","Security","Andreas Malcher",0,"Gunter Bolch",1,"Joakim von Wright",0,"Quantum Information & Computation 3","Andreas Malcher reviews  Data Encodings and Their Costs.","Gunter Bolch reviews  Data Encodings and Their Costs.","Joakim von Wright reviews  Data Encodings and Their Costs."
"245",245,245,"Sandeep Sen",25,"Canadian","Sa2@gmail.com","Hierarchies of Complete Problems.",2005,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"Finding roots of nonlinear equations","digital health","affective computing","Recommender Systems","Christian Stahl",0,"Chung-Hao Huang",0,"Serge Haddad",1,"Quantum Information & Computation 3","Christian Stahl reviews  Hierarchies of Complete Problems.","Chung-Hao Huang reviews  Hierarchies of Complete Problems.","Serge Haddad reviews  Hierarchies of Complete Problems."
"246",246,246,"Richard Hull 0001",19,"Italian","Ri9@gmail.com","Data Encodings and Their Costs.",2008,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"drug design","Reinforcement Learning","Finding roots of nonlinear equations","protein structure prediction","Karl Meinke",1,"Alexandre Brandwajn",0,"Erol Gelenbe",0,"Journal of Management Information Systems 82","Karl Meinke reviews  Data Encodings and Their Costs.","Alexandre Brandwajn reviews  Data Encodings and Their Costs.","Erol Gelenbe reviews  Data Encodings and Their Costs."
"247",247,247,"Jianwen Su",29,"Belgian","Ji16@gmail.com","Type-based information flow analysis for the pi-calculus.",2013,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Optimization","Declarative languages and runtime systems","cryptography","distributed programming","Jon Louis Bentley",0,"Enrico Tronci",1,"Andreas Malcher",1,"ACM Transactions on Graphics 13","Jon Louis Bentley reviews  Type-based information flow analysis for the pi-calculus.","Enrico Tronci reviews  Type-based information flow analysis for the pi-calculus.","Andreas Malcher reviews  Type-based information flow analysis for the pi-calculus."
"248",248,248,"Jianwen Su",29,"Belgian","Ji16@gmail.com","Sur une Conjecture de S. Greibach.",2010,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Numerical quadrature","3D Scene Analysis","Malware","Numerical linear algebra","Artiom Alhazov",1,"John B. Kam",1,"Andrzej Blikle",0,"Journal of Cryptology 51","Artiom Alhazov reviews  Sur une Conjecture de S. Greibach.","John B. Kam reviews  Sur une Conjecture de S. Greibach.","Andrzej Blikle reviews  Sur une Conjecture de S. Greibach."
"249",249,249,"John K. Lee",49,"Norwegian","Jo10@gmail.com","Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.",2009,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Data Breaches","Scalable internet services","Privacy","artificial intelligence","Kavindra Malik",0,"Moon-Jung Chung",1,"Changwook Kim",1,"Journal of Cryptology 51","Kavindra Malik reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.","Moon-Jung Chung reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.","Changwook Kim reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees."
"250",250,250,"Alan Fekete",26,"Canadian","Al10@gmail.com","Type-based information flow analysis for the pi-calculus.",2009,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"domain-specific languages","sequence alignment","sequence alignment","domain-specific languages","Carlo Montangero",1,"Barbara G. Ryder",1,"Ernst W. Mayr",0,"Journal of Management Information Systems 82","Carlo Montangero reviews  Type-based information flow analysis for the pi-calculus.","Barbara G. Ryder reviews  Type-based information flow analysis for the pi-calculus.","Ernst W. Mayr reviews  Type-based information flow analysis for the pi-calculus."
"251",251,251,"Alan Fekete",26,"Canadian","Al10@gmail.com","A Conservation Law for G/G/m Queueing Systems.",2008,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Heating Ventilation","Elementary and special functions","language implementation","language semantics","Luc Devroye",0,"Maria Calzarossa",1,"Rajan Suri",1,"Journal of Cryptology 51","Luc Devroye reviews  A Conservation Law for G/G/m Queueing Systems.","Maria Calzarossa reviews  A Conservation Law for G/G/m Queueing Systems.","Rajan Suri reviews  A Conservation Law for G/G/m Queueing Systems."
"252",252,252,"Alan Fekete",26,"Canadian","Al10@gmail.com","Context-Free Graph Grammars and Concatenation of Graphs.",2008,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"Optimization","Deep Learning","Deep Learning","networking","Mila E. Majster-Cederbaum",0,"Bruce Russell",1,"Nicolae Santean",0,"Journal of Documentation 28","Mila E. Majster-Cederbaum reviews  Context-Free Graph Grammars and Concatenation of Graphs.","Bruce Russell reviews  Context-Free Graph Grammars and Concatenation of Graphs.","Nicolae Santean reviews  Context-Free Graph Grammars and Concatenation of Graphs."
"253",253,253,"Teuvo Laurinolli",43,"Italian","Te10@gmail.com","A Conservation Law for G/G/m Queueing Systems.",2007,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"concurrency","Safe Computing","Optimization","Machine Learning","Thomas Klingler",0,"Norbert Blum",0,"Domenico Parente",0,"ACM Transactions on Database Systems 50","Thomas Klingler reviews  A Conservation Law for G/G/m Queueing Systems.","Norbert Blum reviews  A Conservation Law for G/G/m Queueing Systems.","Domenico Parente reviews  A Conservation Law for G/G/m Queueing Systems."
"254",254,254,"Teuvo Laurinolli",43,"Italian","Te10@gmail.com","On a Class of Recursive Procedures and Equivalent Iterative Ones.",2014,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"Energy lab","Computer Vision","digital technology for older people","Security","Roberto Gorrieri",0,"John B. Kam",0,"Jinzhao Wu",1,"Neural Computation 23","Roberto Gorrieri reviews  On a Class of Recursive Procedures and Equivalent Iterative Ones.","John B. Kam reviews  On a Class of Recursive Procedures and Equivalent Iterative Ones.","Jinzhao Wu reviews  On a Class of Recursive Procedures and Equivalent Iterative Ones."
"255",255,255,"Gary T. Leavens",25,"British","Ga15@gmail.com","A Conservation Law for G/G/m Queueing Systems.",2011,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Numerical quadrature","computational economics","Natural Language Processing","Scalable internet services","William R. Franta",0,"Paul S. Amerins",1,"Philippe Darondeau",0,"ACM Transactions on Graphics 13","William R. Franta reviews  A Conservation Law for G/G/m Queueing Systems.","Paul S. Amerins reviews  A Conservation Law for G/G/m Queueing Systems.","Philippe Darondeau reviews  A Conservation Law for G/G/m Queueing Systems."
"256",256,256,"Gary T. Leavens",25,"British","Ga15@gmail.com","Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.",2008,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"protein structure alignment","computational complexity","Safe Computing","Reinforcement Learning","K. C. Tan",0,"Corina Apachite",1,"Liuba Shrira",0,"Journal of Management Information Systems 82","K. C. Tan reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.","Corina Apachite reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.","Liuba Shrira reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees."
"257",257,257,"Gary T. Leavens",25,"British","Ga15@gmail.com","Context-Free Graph Grammars and Concatenation of Graphs.",2005,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"database systems","drug design","Biomedical Image Analysis","3D Scene Analysis","Pramod K. Varshney",0,"Luke Hunsberger",1,"Kuo-Hsiang Chen",1,"ACM Transactions on Computer-Human Interaction 50","Pramod K. Varshney reviews  Context-Free Graph Grammars and Concatenation of Graphs.","Luke Hunsberger reviews  Context-Free Graph Grammars and Concatenation of Graphs.","Kuo-Hsiang Chen reviews  Context-Free Graph Grammars and Concatenation of Graphs."
"258",258,258,"Gary T. Leavens",25,"British","Ga15@gmail.com","Algorithms for Fast Evaluation of Boolean Expressions.",2009,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"Image-based Rendering and Animation","quantum computation","program analysis","distributed programming","Antonella Santone",0,"Juha Honkala",0,"Michael Bertol",0,"Neural Computation 23","Antonella Santone reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Juha Honkala reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Michael Bertol reviews  Algorithms for Fast Evaluation of Boolean Expressions."
"259",259,259,"Don Pigozzi",41,"Belgian","Do4@gmail.com","Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.",2007,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"computer security","Energy lab","Elementary and special functions","Telephony","Andrzej Duda",1,"Jan A. Bergstra",0,"Kamilla Klonowska",0,"Journal of Cryptology 51","Andrzej Duda reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.","Jan A. Bergstra reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.","Kamilla Klonowska reviews  Applications of Efficient Mergeable Heaps for Optimization Problems on Trees."
"260",260,260,"Don Pigozzi",41,"Belgian","Do4@gmail.com","Algorithms for Fast Evaluation of Boolean Expressions.",2011,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"Heating Ventilation","gene finding","database systems","networking","Gary T. Leavens",0,"Isi Mitrani",1,"Robert H. Sloan",1,"ACM Transactions on Algorithms 46","Gary T. Leavens reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Isi Mitrani reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Robert H. Sloan reviews  Algorithms for Fast Evaluation of Boolean Expressions."
"261",261,261,"Don Pigozzi",41,"Belgian","Do4@gmail.com","A general account of coinduction up-to.",2014,"ACM Transactions on Computer Systems","Israel","768-4-14-100698-1","4.413/1191051041164320","60","66",2,"concurrency","computational complexity","Internet of Things","Safe Computing","Amir Pnueli",0,"Sanjeev Saxena",1,"Mark H. Overmars",1,"ACM Transactions on Computer Systems 60","Amir Pnueli reviews  A general account of coinduction up-to.","Sanjeev Saxena reviews  A general account of coinduction up-to.","Mark H. Overmars reviews  A general account of coinduction up-to."
"262",262,262,"Luke Hunsberger",56,"Scottish","Lu2@gmail.com","Context-Free Graph Grammars and Concatenation of Graphs.",2012,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"Medical device software","protein structure alignment","Robotics","artificial intelligence","Thomas N. Hibbard",0,"Norbert Ramsperger",1,"Giora Slutzki",1,"ACM Transactions on Computer-Human Interaction 50","Thomas N. Hibbard reviews  Context-Free Graph Grammars and Concatenation of Graphs.","Norbert Ramsperger reviews  Context-Free Graph Grammars and Concatenation of Graphs.","Giora Slutzki reviews  Context-Free Graph Grammars and Concatenation of Graphs."
"263",263,263,"Luke Hunsberger",56,"Scottish","Lu2@gmail.com","Algorithms for Fast Evaluation of Boolean Expressions.",2012,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"Natural Language Processing","Service and cloud computing","Internet of Things","protein structure alignment","Annabelle McIver",1,"Benedek Nagy",0,"Norbert Ramsperger",0,"IEEE Transactions on Computers 79","Annabelle McIver reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Benedek Nagy reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Norbert Ramsperger reviews  Algorithms for Fast Evaluation of Boolean Expressions."
"264",264,264,"Y. Daniel Liang",27,"American","Y.5@gmail.com","On a Class of Recursive Procedures and Equivalent Iterative Ones.",2007,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"computational economics","Machine Learning for Computer Vision","Natural Language Processing","Image-based Rendering and Animation","Carroll Morgan",0,"Karl Meinke",0,"Tom Chothia",1,"IEEE Transactions on Computers 79","Carroll Morgan reviews  On a Class of Recursive Procedures and Equivalent Iterative Ones.","Karl Meinke reviews  On a Class of Recursive Procedures and Equivalent Iterative Ones.","Tom Chothia reviews  On a Class of Recursive Procedures and Equivalent Iterative Ones."
"265",265,265,"Y. Daniel Liang",27,"American","Y.5@gmail.com","Algorithms for Fast Evaluation of Boolean Expressions.",2012,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Privacy","Online Scams","computational complexity","Scalable internet services","Hans Ulrich Simon",0,"Paul Caspi",0,"Yijie Han",1,"ACM Transactions on Database Systems 50","Hans Ulrich Simon reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Paul Caspi reviews  Algorithms for Fast Evaluation of Boolean Expressions.","Yijie Han reviews  Algorithms for Fast Evaluation of Boolean Expressions."
"266",266,266,"Y. Daniel Liang",27,"American","Y.5@gmail.com","A Comparison of Two Synchronizing Concepts.",2012,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"concurrency","Data cleaning","sequence alignment","Consistency","Eleni Mandrali",0,"Eric C. R. Hehner",0,"Mehdi Jazayeri",1,"Annual Review of Information Science and Technology 37","Eleni Mandrali reviews  A Comparison of Two Synchronizing Concepts.","Eric C. R. Hehner reviews  A Comparison of Two Synchronizing Concepts.","Mehdi Jazayeri reviews  A Comparison of Two Synchronizing Concepts."
"267",267,267,"Y. Daniel Liang",27,"American","Y.5@gmail.com","How to Calculate Symmetries of Petri Nets.",2006,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"algebra","data transformation","drug discovery","computational complexity","Guangyuan Li",0,"Houguang Yue",0,"Giuseppe Della Penna",1,"Journal of Documentation 28","Guangyuan Li reviews  How to Calculate Symmetries of Petri Nets.","Houguang Yue reviews  How to Calculate Symmetries of Petri Nets.","Giuseppe Della Penna reviews  How to Calculate Symmetries of Petri Nets."
"268",268,268,"Maw-Shang Chang",19,"Irish","Ma17@gmail.com","A Comparison of Two Synchronizing Concepts.",2005,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"Avionics software","Service and cloud computing","Computational Video","Metadata management","Sanjeev Saxena",0,"Sven Skyum",0,"Enrico Tronci",0,"Annual Review of Information Science and Technology 37","Sanjeev Saxena reviews  A Comparison of Two Synchronizing Concepts.","Sven Skyum reviews  A Comparison of Two Synchronizing Concepts.","Enrico Tronci reviews  A Comparison of Two Synchronizing Concepts."
"269",269,269,"Gilles Bernot",70,"Canadian","Gi3@gmail.com","A general account of coinduction up-to.",2006,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Heating Ventilation","type theory","Electronic warfare engineering","Numerical linear algebra","Luke Hunsberger",0,"Carol Critchlow",0,"Boris Klebansky",1,"Journal of Cryptology 51","Luke Hunsberger reviews  A general account of coinduction up-to.","Carol Critchlow reviews  A general account of coinduction up-to.","Boris Klebansky reviews  A general account of coinduction up-to."
